from,to,weight
serenity,apprehension,1.0769230769230769
serenity,amazement,0.6363636363636364
serenity,distraction,0.6363636363636364
serenity,grief,1.0
serenity,pensiveness,1.4545454545454546
serenity,loathing,0.25
serenity,boredom,3.7777777777777777
serenity,rage,0.0
serenity,annoyance,0.25
serenity,vigilance,1.0
serenity,interest,1.6923076923076923
serenity,optimism,4.125
serenity,hope,3.2142857142857144
serenity,anxiety,1.5714285714285714
serenity,love,5.0
serenity,guilt,0.4285714285714285
serenity,delight,3.1
serenity,submission,1.0
serenity,curiosity,1.1
serenity,sentimentality,0.9333333333333332
serenity,awe,1.0833333333333333
serenity,despair,0.4166666666666667
serenity,shame,0.6
serenity,disappointment,0.6363636363636364
serenity,unbelief,0.6153846153846154
serenity,outrage,0.2727272727272727
serenity,remorse,0.7
serenity,envy,0.375
serenity,pessimism,1.0
serenity,contempt,0.3
serenity,cynicism,1.2222222222222223
serenity,morbidness,0.8
serenity,aggressiveness,1.181818181818182
serenity,pride,0.8333333333333334
serenity,dominance,4.090909090909091
admiration,joy,4.7
admiration,trust,2.1666666666666665
admiration,fear,1.7142857142857142
admiration,surprise,5.166666666666667
admiration,sadness,1.8235294117647056
admiration,disgust,1.181818181818182
admiration,anger,1.5
admiration,anticipation,3.6666666666666665
admiration,ecstasy,4.333333333333333
admiration,serenity,0.7142857142857143
admiration,acceptance,2.0
admiration,terror,1.181818181818182
admiration,apprehension,1.2307692307692308
admiration,amazement,5.5
admiration,distraction,3.5
admiration,grief,1.9
admiration,pensiveness,2.5555555555555554
admiration,loathing,1.5833333333333333
admiration,boredom,0.1666666666666666
admiration,rage,0.25
admiration,annoyance,1.2222222222222223
admiration,vigilance,1.5
admiration,interest,2.4
admiration,optimism,1.0
admiration,hope,3.0
admiration,anxiety,1.5454545454545454
admiration,love,3.5714285714285716
admiration,guilt,1.0
admiration,delight,4.666666666666667
admiration,submission,1.1333333333333333
admiration,curiosity,4.166666666666667
admiration,sentimentality,2.090909090909091
admiration,awe,2.888888888888889
admiration,despair,1.2857142857142858
admiration,shame,1.125
admiration,disappointment,0.8571428571428571
admiration,unbelief,0.5
admiration,outrage,0.8571428571428571
admiration,remorse,0.7
admiration,envy,0.5714285714285714
admiration,pessimism,1.4
admiration,contempt,1.2
admiration,cynicism,1.8888888888888888
admiration,morbidness,1.6666666666666667
admiration,aggressiveness,1.75
admiration,pride,3.0
admiration,dominance,2.1666666666666665
acceptance,joy,2.769230769230769
acceptance,trust,3.8461538461538463
acceptance,fear,1.0
acceptance,surprise,1.5714285714285714
acceptance,sadness,0.4285714285714285
acceptance,disgust,0.5555555555555556
acceptance,anger,0.5384615384615384
acceptance,anticipation,4.0
acceptance,ecstasy,3.0
acceptance,serenity,2.9
acceptance,admiration,1.6666666666666667
acceptance,terror,0.7777777777777778
acceptance,apprehension,0.3333333333333333
acceptance,amazement,1.5
acceptance,distraction,0.8
acceptance,grief,1.0666666666666669
acceptance,pensiveness,0.5
acceptance,loathing,0.5
acceptance,boredom,1.75
acceptance,rage,0.7142857142857143
acceptance,annoyance,0.5714285714285714
acceptance,vigilance,0.8571428571428571
acceptance,interest,3.3076923076923075
acceptance,optimism,3.375
acceptance,hope,3.75
acceptance,anxiety,1.0
acceptance,love,4.615384615384615
acceptance,guilt,1.4444444444444444
acceptance,delight,2.2666666666666666
acceptance,submission,2.8333333333333335
acceptance,curiosity,2.5
acceptance,sentimentality,0.8
acceptance,awe,1.6666666666666667
acceptance,despair,1.1111111111111112
acceptance,shame,1.5714285714285714
acceptance,disappointment,1.0909090909090908
acceptance,unbelief,0.9090909090909092
acceptance,outrage,0.8823529411764706
