from,to,weight
amazement,disgust,1.8461538461538465
amazement,anger,2.0
amazement,anticipation,3.0
amazement,ecstasy,2.3
amazement,serenity,1.0
amazement,admiration,4.5
amazement,acceptance,2.2
amazement,terror,2.8181818181818183
amazement,apprehension,2.5
amazement,distraction,3.090909090909091
amazement,grief,1.6666666666666667
amazement,pensiveness,0.8888888888888888
amazement,loathing,2.3333333333333335
amazement,boredom,0.7777777777777778
amazement,rage,2.0588235294117645
amazement,annoyance,1.5454545454545454
amazement,vigilance,2.066666666666667
amazement,interest,4.181818181818182
amazement,optimism,2.142857142857143
amazement,hope,2.4166666666666665
amazement,anxiety,2.857142857142857
amazement,love,2.1818181818181817
amazement,guilt,1.3636363636363635
amazement,delight,4.0
amazement,submission,2.0
amazement,curiosity,4.2727272727272725
amazement,sentimentality,3.111111111111111
amazement,awe,3.4285714285714284
amazement,despair,1.8
amazement,shame,2.3
amazement,disappointment,2.2
amazement,unbelief,1.3076923076923077
amazement,outrage,1.9090909090909092
amazement,remorse,1.1
amazement,envy,2.3076923076923075
amazement,pessimism,2.3333333333333335
amazement,contempt,1.2307692307692308
amazement,cynicism,1.0
amazement,morbidness,1.9090909090909092
amazement,aggressiveness,2.3076923076923075
amazement,pride,3.3333333333333335
amazement,dominance,2.2857142857142856
distraction,joy,1.4545454545454546
distraction,trust,1.5
distraction,fear,5.444444444444445
distraction,surprise,5.642857142857143
distraction,sadness,4.454545454545454
distraction,disgust,3.1818181818181817
distraction,anger,4.363636363636363
distraction,anticipation,1.6153846153846154
distraction,ecstasy,0.75
distraction,serenity,1.6666666666666667
distraction,admiration,3.0
distraction,acceptance,1.0
distraction,terror,4.9
distraction,apprehension,5.153846153846154
distraction,amazement,4.6923076923076925
distraction,grief,3.7857142857142856
distraction,pensiveness,2.8461538461538463
distraction,loathing,1.9
distraction,boredom,0.8571428571428571
distraction,rage,3.2857142857142856
distraction,annoyance,3.3333333333333335
distraction,vigilance,4.7
distraction,interest,1.5454545454545454
distraction,optimism,1.1
